,Likes,Comments,Female,Male,Age,Sunglasses,Beard,Mustache,Smile,Eyeglasses,SURPRISED,ANGRY,CONFUSED,HAPPY,CALM,DISGUSTED,SAD,Objects,Filters,Website,Followers,Follows
3468175004,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0
263042348,17.328767123287673,0.684931506849315,5.712328767123288,0.6164383561643836,19.482637529897804,0.7397260273972602,0.1643835616438356,0.1643835616438356,3.73972602739726,1.1095890410958904,0.0,0.0136986301369863,0.0,1.7123287671232876,0.0,0.0,0.0136986301369863,4.726027397260274,0.3150684931506849,0.0,316.0,73.0
53918317,3.33,0.37,1.41,1.05,15.01375,0.09,0.33,0.21,0.93,0.18,0.04,0.0,0.0,0.42,0.01,0.0,0.03,3.93,0.7,0.0,100.0,105.0
11520833,4.47682119205298,0.28807947019867547,1.1523178807947019,0.7748344370860927,10.093415589193736,0.16887417218543047,0.1390728476821192,0.10927152317880795,0.804635761589404,0.2980132450331126,0.019867549668874173,0.0033112582781456954,0.016556291390728478,0.3609271523178808,0.0,0.0033112582781456954,0.039735099337748346,4.033112582781457,0.5894039735099338,0.0,201.0,312.0
246535583,6.0,0.0,3.0,0.0,11.833333333333334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,5.666666666666667,0.6666666666666666,0.0,165.0,3.0
2143580844,3.9767441860465116,0.5348837209302325,0.13953488372093023,0.6976744186046512,10.127906976744185,0.13953488372093023,0.20930232558139536,0.13953488372093023,0.27906976744186046,0.3488372093023256,0.023255813953488372,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,2.9767441860465116,0.7441860465116279,1.0,13.0,43.0
589215950,1.375,0.0,2.625,1.875,18.628125,0.0,0.75,0.75,1.875,0.375,0.0,0.125,0.0,0.75,0.0,0.0,0.0,5.125,1.0,1.0,42.0,8.0
287562303,216.3846153846154,5.769230769230769,5.1923076923076925,1.4038461538461537,26.724180911680914,0.5192307692307693,0.2692307692307692,0.15384615384615385,4.25,0.9423076923076923,0.019230769230769232,0.0,0.00641025641025641,1.8653846153846154,0.00641025641025641,0.01282051282051282,0.04487179487179487,5.923076923076923,0.057692307692307696,0.0,456.0,156.0
2111135225,8.2,2.6,0.0,0.6,6.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.8,1.0,0.0,44.0,6.0
360155844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,55.0,1.0
1619510,6.784158415841584,0.7808580858085808,0.5841584158415841,1.001980198019802,9.142687804494734,0.15643564356435644,0.12475247524752475,0.09702970297029703,0.897029702970297,0.7227722772277227,0.011221122112211221,0.0026402640264026403,0.0026402640264026403,0.3920792079207921,0.0,0.0019801980198019802,0.010561056105610561,3.98019801980198,0.671947194719472,0.0,364.0,2037.0
